rank,actor,pay,scalar
10, Gal Gadot, $10,million
9, Melissa McCarthy, $12,million
8, Cate Blanchett, $12.5,million
7, Julia Roberts, $13,million
6, Mila Kunis, $16,million
5, Reese Witherspoon, $16.5,million
4, Jennifer Lawrence, $18,million
3, Jennifer Aniston, $19.5,million
2, Angelina Jolie, $28,million
1, Scarlett Johansson, $40.5,million
