Column1,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power,first_genre
74,Gladiator,152944831,23.186667,2000,679550854,155,7.9,5566,1,Action & Adventure
75,Stand by Me,18664233,15.206957000000001,1986,121988063,89,7.8,1568,0,Action & Adventure
76,Hacksaw Ridge,42616666,21.037699,2016,186770049,140,7.8,3294,1,Action & Adventure
77,Amadeus,44298363,12.677592,1984,127906674,160,7.8,1107,1,Drama
78,Annie Hall,16877887,18.146043,1977,161400814,93,7.8,1044,1,Comedy
79,The Thing,39746113,16.83125,1982,52013778,109,7.8,1629,1,Horror
80,Hidden Figures,26635416,16.816834,2016,245790336,127,7.8,2178,1,Drama
81,Trainspotting,6518801,19.348466000000002,1996,26875520,93,7.8,2737,1,Comedy
82,The Theory of Everything,16204055,11.853019999999999,2014,133658276,123,7.8,3403,1,Drama
83,Pride & Prejudice,36659498,14.439082999999998,2005,158615105,135,7.8,1406,0,None
84,Casino,87246719,10.137389,1995,194815841,178,7.8,1343,1,Drama
85,The Breakfast Club,2376394,12.627678,1985,122444109,97,7.8,2189,1,Comedy
86,The Big Lebowski,23530674,15.952523999999999,1998,72458113,117,7.8,3001,1,Comedy
87,The Truman Show,94122699,13.155901,1998,414325300,103,7.8,4702,1,Comedy
88,Big Hero 6,178244613,213.84990699999997,2014,704450197,102,7.8,6289,0,Animation
89,Into the Wild,18502170,15.423538,2007,69389482,148,7.8,3139,0,Action & Adventure
90,North by Northwest,35027397,12.410427,1959,116247174,136,7.8,1062,1,Classics
91,WALL·E,213776126,16.088366,2008,619133500,98,7.8,6439,0,None
92,Django Unchained,111367595,19.785025,2012,473722380,165,7.8,10297,1,Drama
93,Gran Torino,39192289,14.794228,2008,320614579,116,7.8,3181,1,Drama
94,Spotlight,21578059,14.63239,2015,95317270,128,7.8,2751,1,Drama
95,About Time,13169098,11.213913,2013,95586200,123,7.8,2140,0,Comedy
96,Shutter Island,93791838,15.813629,2010,345627843,138,7.8,6559,1,Action & Adventure
97,Up,208613053,19.330884,2009,876292938,96,7.8,7048,0,Action & Adventure
98,Monty Python and the Holy Grail,1901115,10.43389,1975,23901524,91,7.8,1742,0,Comedy
99,Warrior,28423743,13.121626000000001,2011,26214781,140,7.7,1297,0,Action & Adventure
100,Kill Bill: Vol. 1,41690217,25.261865,2003,251460104,111,7.7,5091,0,None
101,The Sixth Sense,61392557,18.449169,1999,1032632466,107,7.7,3223,1,Mystery & Suspense
102,L.A. Confidential,55760124,10.989442,1997,201082065,138,7.7,1340,1,Drama
103,Kill Bill: Vol. 2,40608787,21.533072,2004,205967041,136,7.7,4061,0,None
104,Hachi: A Dog's Tale,19073193,8.621359,2009,56982821,93,7.7,1769,1,Drama
105,Rush,41702145,10.63552,2013,99039989,123,7.7,2310,1,Action & Adventure
106,Million Dollar Baby,40608787,14.471373000000002,2004,293416962,132,7.7,2519,1,Drama
107,The Pursuit of Happyness,69759424,20.981716,2006,389482461,117,7.7,2607,1,Drama
108,V for Vendetta,68491071,20.214422,2006,168070791,132,7.7,4562,1,Action & Adventure
109,No Country for Old Men,30836951,15.565484,2007,211664833,122,7.7,3083,1,Action & Adventure
110,Harry Potter and the Prisoner of Azkaban,175971413,28.460276,2004,1069100182,141,7.7,6037,1,Kids & Family
111,Mulholland Drive,21657255,18.184055999999998,2001,29045757,147,7.7,1517,0,Drama
112,Catch Me If You Can,73909949,19.833077,2002,500475984,141,7.7,3917,1,Action & Adventure
113,Donnie Darko,8662902,18.303148,2001,1834401,113,7.7,3574,1,Comedy
114,The Boy in the Striped Pyjamas,14845564,8.912738000000001,2008,24247631,94,7.7,1492,0,None
115,The Perks of Being a Wallflower,14477787,12.775679,2012,37196777,102,7.7,3056,1,Drama
116,A Beautiful Mind,86629023,11.93646,2001,452697778,135,7.7,3087,1,Drama
117,Snatch,14849012,14.014025,2000,124075190,103,7.7,2953,1,Action & Adventure
118,Toy Story,50334645,21.946943,1995,626756996,81,7.7,5415,1,Animation
119,The Notebook,39255161,15.239013,2004,156483566,123,7.7,3163,1,Art House & International
120,Raiders of the Lost Ark,50633663,19.901576000000002,1981,1096854464,115,7.7,3949,1,Action & Adventure
121,Fargo,11407903,12.61469,1996,98779362,98,7.7,2080,1,Drama
122,Zootopia,159812500,26.024867999999998,2016,1090756744,108,7.7,4961,1,Action & Adventure
123,Unforgiven,25515324,10.942149,1992,290068133,131,7.7,1133,1,Drama
124,Straight Outta Compton,30209282,21.183076999999997,2015,217544587,147,7.7,1381,0,Drama
125,Terminator 2: Judgment Day,187738619,22.661695,1991,976240822,137,7.7,4274,1,Action & Adventure
126,Aliens,43161040,21.761179000000002,1986,427682641,137,7.7,3282,1,Action & Adventure
127,Braveheart,120803149,20.755149,1995,352342519,177,7.7,3404,1,Action & Adventure
128,Life of Brian,14088154,10.714172999999999,1979,70599668,94,7.7,1230,0,None
129,Heat,100669291,17.924927,1995,314485527,170,7.7,1886,2,Action & Adventure
130,Captain Phillips,60358369,13.776067999999999,2013,104255364,134,7.6,2495,1,Drama
131,How to Train Your Dragon 2,156639205,12.256689,2014,658017589,102,7.6,3163,1,Action & Adventure
