title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
Django Unchained,100000000,19.785025,2012,425368238,165,7.8,10297
Gran Torino,33000000,14.794228,2008,269958228,116,7.8,3181
Spotlight,20000000,14.63239,2015,88346473,128,7.8,2751
About Time,12000000,11.213913,2013,87100449,123,7.8,2140
Shutter Island,80000000,15.813629,2010,294804195,138,7.8,6559
Up,175000000,19.330884,2009,735099082,96,7.8,7048
Monty Python and the Holy Grail,400000,10.43389,1975,5028948,91,7.8,1742
Warrior,25000000,13.121626000000001,2011,23057115,140,7.7,1297
Kill Bill: Vol. 1,30000000,25.261865,2003,180949000,111,7.7,5091
The Sixth Sense,40000000,18.449169,1999,672806292,107,7.7,3223
L.A. Confidential,35000000,10.989442,1997,126216940,138,7.7,1340
Kill Bill: Vol. 2,30000000,21.533072,2004,152159461,136,7.7,4061
Hachi: A Dog's Tale,16000000,8.621359,2009,47801389,93,7.7,1769
Rush,38000000,10.63552,2013,90247624,123,7.7,2310
Million Dollar Baby,30000000,14.471373000000002,2004,216763646,132,7.7,2519
The Pursuit of Happyness,55000000,20.981716,2006,307077295,117,7.7,2607
V for Vendetta,54000000,20.214422,2006,132511035,132,7.7,4562
No Country for Old Men,25000000,15.565484,2007,171600000,122,7.7,3083
Harry Potter and the Prisoner of Azkaban,130000000,28.460276,2004,789804554,141,7.7,6037
Mulholland Drive,15000000,18.184055999999998,2001,20117339,147,7.7,1517
Catch Me If You Can,52000000,19.833077,2002,352114312,141,7.7,3917
Donnie Darko,6000000,18.303148,2001,1270522,113,7.7,3574
The Boy in the Striped Pyjamas,12500000,8.912738000000001,2008,20416563,94,7.7,1492
The Perks of Being a Wallflower,13000000,12.775679,2012,33400000,102,7.7,3056
A Beautiful Mind,60000000,11.93646,2001,313542341,135,7.7,3087
Snatch,10000000,14.014025,2000,83557872,103,7.7,2953
Toy Story,30000000,21.946943,1995,373554033,81,7.7,5415
The Notebook,29000000,15.239013,2004,115603229,123,7.7,3163
Raiders of the Lost Ark,18000000,19.901576000000002,1981,389925971,115,7.7,3949
Fargo,7000000,12.61469,1996,60611975,98,7.7,2080
Zootopia,150000000,26.024868,2016,1023784195,108,7.7,4961
Unforgiven,14000000,10.942149,1992,159157447,131,7.7,1133
Straight Outta Compton,28000000,21.183076999999997,2015,201634991,147,7.7,1381
Terminator 2: Judgment Day,100000000,22.661695,1991,520000000,137,7.7,4274
Aliens,18500000,21.761179000000002,1986,183316455,137,7.7,3282
Braveheart,72000000,20.755149,1995,210000000,177,7.7,3404
Life of Brian,4000000,10.714172999999999,1979,20045115,94,7.7,1230
Heat,60000000,17.924927,1995,187436818,170,7.7,1886
Captain Phillips,55000000,13.776067999999999,2013,95000000,134,7.6,2495
How to Train Your Dragon 2,145000000,12.256689,2014,609123048,102,7.6,3163
The Fault in Our Stars,12000000,16.274653,2014,307166834,125,7.6,3868
Edge of Tomorrow,178000000,31.982986,2014,370541256,113,7.6,4979
The Hateful Eight,44000000,20.328822,2015,155760117,167,7.6,4405
Moon,5000000,13.336773,2009,9760104,97,7.6,1831
Captain America: The Winter Soldier,170000000,18.717704,2014,714766572,136,7.6,5881
Indiana Jones and the Last Crusade,48000000,14.788986999999999,1989,474171806,127,7.6,3221
Toy Story 3,200000000,16.96647,2010,1066969703,103,7.6,4710
The Dark Knight Rises,250000000,20.58258,2012,1084939099,165,7.6,9263
The Untouchables,25000000,11.062203,1987,76270454,119,7.6,1424
The Princess Bride,16000000,15.15267,1987,30857814,98,7.6,1518
Moonrise Kingdom,16000000,8.692433,2012,68263166,94,7.6,1701
The Martian,108000000,25.629929999999998,2015,630161890,141,7.6,7442
The King's Speech,15000000,11.260387,2010,414211549,118,7.6,2817
Misery,20000000,15.020845000000001,1990,61276872,107,7.6,1085
Breakfast at Tiffany's,2500000,10.879289,1961,9500000,110,7.6,1082
The Hobbit: The Desolation of Smaug,250000000,20.644776,2013,958400000,161,7.6,4633
Dances with Wolves,22000000,11.654349,1990,424208848,181,7.6,1084
The Iron Giant,70000000,15.441459,1999,23159305,86,7.6,1470
Me Before You,20000000,34.34759,2016,207945075,110,7.6,2674
Mystic River,25000000,12.602438000000001,2003,156822020,138,7.6,1473
Guardians of the Galaxy Vol. 2,200000000,185.33099199999998,2017,863416141,137,7.6,4858
The Nightmare Before Christmas,18000000,17.730913,1993,75634409,76,7.6,2135
Philadelphia,26000000,13.373006,1993,206678440,125,7.6,1019
Slumdog Millionaire,15000000,11.258181,2008,377910544,120,7.6,2918
Rain Man,25000000,11.267467,1988,412800000,133,7.6,1762
Finding Nemo,94000000,25.497794,2003,940335536,100,7.6,6292
Logan,97000000,54.581997,2017,616801808,137,7.6,6310
Ex Machina,15000000,14.14078,2015,36869414,108,7.6,4862
Big Fish,70000000,14.739982999999999,2003,122919055,125,7.6,2064
Kingsman: The Secret Service,81000000,28.224211999999998,2015,414351546,130,7.6,6069
Jurassic Park,63000000,8.863776,1993,920100000,127,7.6,4956
Mulan,90000000,21.180857,1998,304320254,88,7.6,2089
Nightcrawler,8500000,21.277073,2014,38697217,117,7.6,3475
Dunkirk,100000000,30.938854,2017,519876949,107,7.5,2712
"Monsters, Inc.",115000000,26.419961999999998,2001,562816256,92,7.5,6150
Brokeback Mountain,14000000,11.787044,2005,178043761,134,7.5,1531
Ferris Bueller's Day Off,6000000,12.724644999999999,1986,70136369,103,7.5,1340
Die Hard,28000000,16.640522,1988,140767956,131,7.5,4005
Shaun of the Dead,4000000,14.902948,2004,30039392,99,7.5,2479
Batman Begins,150000000,28.505340999999998,2005,374218673,140,7.5,7511
Little Miss Sunshine,8000000,5.320117,2006,100523181,102,7.5,1728
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,47.326665000000006,2003,655011224,143,7.5,7191
Harry Potter and the Goblet of Fire,150000000,24.903057999999998,2005,895921036,157,7.5,5758
Harry Potter and the Deathly Hallows: Part 1,250000000,23.300362,2010,954305868,146,7.5,5708
Harry Potter and the Philosopher's Stone,125000000,38.187238,2001,976475550,152,7.5,7188
Manchester by the Sea,9000000,12.821257,2016,75026965,135,7.5,1553
Ratatouille,150000000,20.508029999999998,2007,623722818,111,7.5,4510
How to Train Your Dragon,165000000,14.416681,2010,494878759,98,7.5,4319
Cast Away,90000000,21.296343,2000,429632142,143,7.5,3304
Fantastic Mr. Fox,40000000,8.695893,2009,46471023,87,7.5,1206
Beauty and the Beast,25000000,23.433511,1991,377350553,84,7.5,3029
A Walk to Remember,11000000,8.054499,2002,41227069,101,7.5,1057
Platoon,6000000,18.206972,1986,138530565,120,7.5,1236
Seven Pounds,55000000,21.708267000000003,2008,168167691,123,7.5,2092
Still Alice,5000000,8.823253,2014,43884652,99,7.5,1126
Star Wars: The Force Awakens,245000000,31.626013,2015,2068223624,136,7.5,7993
X-Men: Days of Future Past,250000000,26.058586,2014,747862775,131,7.5,6155
Rocky,1000000,14.774066,1976,117235147,119,7.5,1843
The Blues Brothers,27000000,10.076901,1980,115229890,133,7.5,1092
"Lock, Stock and Two Smoking Barrels",1350000,4.60786,1998,3897569,105,7.5,1671
Gattaca,36000000,12.89312,1997,12532777,106,7.5,1846
Boyhood,4000000,6.430591000000001,2014,44349000,164,7.5,2008
The Exorcist,8000000,12.137595,1973,441306145,122,7.5,2046
Jaws,7000000,19.726114000000003,1975,470654000,124,7.5,2628
Edward Scissorhands,20000000,17.612244,1990,53000000,105,7.5,3731
