,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power
775,Lights Out,4900000,11.494907,2016,"158,607,337.96",81,6.3,1174,1
776,13 Going on 30,37000000,12.632595,2004,"130,564,964.12",98,6.3,1260,1
777,The Chronicles of Riddick,105000000,5.060352,2004,"156,713,011.27",119,6.3,1593,1
778,Bad Moms,20000000,9.362056,2016,"195,968,558.84",100,6.3,1287,1
779,The Lorax,70000000,7.6893949999999975,2012,"388,495,073.18",86,6.3,1048,0
780,Ted,50000000,19.638605,2012,"611,818,284.61",106,6.3,4811,1
781,Home Alone 2: Lost in New York,18000000,13.293722,1992,"654,270,654.54",120,6.3,2459,1
782,Prometheus,130000000,16.624854,2012,"449,000,894.20",124,6.3,5152,1
783,Men in Black 3,225000000,10.684385,2012,"694,963,617.70",106,6.3,4228,0
784,Power Rangers,100000000,23.247298,2017,"148,492,991.71",124,6.3,1321,0
785,The Mechanic,40000000,9.832342,2011,"58,064,941.53",93,6.3,1066,2
786,TRON: Legacy,170000000,21.259,2010,"469,032,776.25",125,6.3,2895,0
787,The Witch,3500000,11.840138,2016,"43,068,344.74",92,6.3,1471,0
788,Unstoppable,100000000,12.697059,2010,"196,734,789.80",98,6.3,1193,1
789,Self/less,26000000,25.301568,2015,"32,931,598.68",116,6.3,1122,1
790,The Beach,40000000,14.430310999999998,2000,"213,910,234.76",119,6.3,1271,1
791,Black Mass,53000000,10.61072,2015,"106,636,472.03",122,6.3,1262,1
792,Jack Reacher,60000000,12.789812,2012,"243,160,671.35",130,6.3,3046,1
793,Spectre,245000000,24.926576999999998,2015,"950,162,436.80",148,6.3,4552,1
794,X-Men: The Last Stand,210000000,0.867943,2006,"582,630,149.87",104,6.3,3581,1
795,Over the Hedge,80000000,9.382953,2006,"435,548,988.38",83,6.3,1116,1
796,Silent Hill,50000000,7.9384570000000005,2006,"123,800,722.88",125,6.3,1093,0
797,Ghostbusters II,37000000,16.414239000000002,1989,"444,164,794.41",108,6.3,1131,0
798,Hitch,70000000,13.350760000000001,2005,"481,942,024.55",118,6.3,1721,1
799,X-Men Origins: Wolverine,150000000,1.456541,2009,"444,718,761.42",107,6.2,4086,0
800,The Other Woman,40000000,9.389353999999999,2014,"212,576,895.02",109,6.2,1467,2
801,DodgeBall: A True Underdog Story,20000000,11.967379,2004,"227,033,322.75",92,6.2,1009,0
802,Neighbors,18000000,11.90575,2014,"289,682,497.59",96,6.2,2773,1
803,Underworld: Rise of the Lycans,35000000,11.654958,2009,"108,900,187.44",92,6.2,1447,0
804,Kong: Skull Island,185000000,29.429112,2017,"591,159,216.76",118,6.2,3161,1
805,Despicable Me 3,80000000,36.631519,2017,"1,064,178,732.31",96,6.2,2002,1
806,The Village,60000000,8.172707,2004,"347,472,503.25",108,6.2,1101,0
807,The Day After Tomorrow,125000000,15.049695000000002,2004,"736,741,414.46",124,6.2,2462,1
808,The 40 Year Old Virgin,26000000,11.519662,2005,"143,298,360.99",116,6.2,2020,1
809,A Walk Among the Tombstones,28000000,14.914924,2014,"57,450,507.48",113,6.2,1145,1
810,The Shallows,17000000,13.689175,2016,"126,891,932.59",86,6.2,1619,1
811,Alien³,50000000,17.126768,1992,"291,190,986.86",114,6.2,1664,0
812,Insurgent,110000000,27.887186,2015,"318,533,367.07",119,6.2,3921,1
813,Ted 2,68000000,42.061481,2015,"234,146,311.19",115,6.2,2524,1
814,Knocked Up,30000000,9.058516000000001,2007,"270,226,076.47",129,6.2,1255,1
815,Goosebumps,58000000,12.365292,2015,"170,642,299.12",103,6.2,1022,1
816,2 Fast 2 Furious,76000000,2.32462,2003,"328,450,347.92",107,6.2,2087,1
817,Central Intelligence,50000000,11.374041,2016,"231,166,163.52",107,6.2,1699,1
818,Madagascar: Escape 2 Africa,150000000,12.668733,2008,"717,219,324.28",89,6.2,1866,1
819,Hancock,150000000,11.017324,2008,"741,125,453.62",92,6.2,3050,1
820,Transporter 2,32000000,11.359658999999999,2005,"111,507,246.76",87,6.2,1076,1
821,The Lost World: Jurassic Park,73000000,0.7881229999999999,1997,"364,949,257.24",129,6.2,2528,0
822,Tomorrowland,190000000,22.296076,2015,"225,657,215.76",130,6.2,2904,1
823,War of the Worlds,132000000,19.929377,2005,"774,745,310.86",116,6.2,2397,1
824,The Girl on the Train,45000000,10.217291,2016,"184,515,100.61",112,6.2,1837,1
825,Dracula Untold,70000000,16.316318,2014,"232,829,812.83",92,6.2,2439,0
826,Transformers: The Last Knight,260000000,39.186819,2017,"631,104,471.50",149,6.2,1440,1
827,The A-Team,110000000,16.747792999999998,2010,"207,794,406.86",117,6.2,1737,1
828,Olympus Has Fallen,70000000,10.978188000000001,2013,"176,713,545.70",120,6.2,3010,1
829,The Karate Kid,40000000,11.690781,2010,"419,545,425.96",140,6.2,1675,0
