,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power
1006,Charlie's Angels,92000000,9.774985000000001,2000,"392,170,661.19",98,5.6,1253,1
1007,AVP: Alien vs. Predator,70000000,12.636205,2004,"231,718,971.78",101,5.6,1241,0
1008,Pixels,88000000,21.14796,2015,"262,860,777.08",105,5.6,2564,1
1009,Clash of the Titans,125000000,11.972347000000001,2010,"272,832,414.68",106,5.6,2280,1
1010,Planet of the Apes,100000000,17.319836,2001,"522,967,486.83",119,5.6,1270,2
1011,The Twilight Saga: New Moon,50000000,30.121291999999997,2009,"846,167,282.21",130,5.6,2518,1
1012,2012,200000000,16.698628,2009,"917,484,495.30",158,5.6,4994,1
1013,Hercules,100000000,19.606895,2014,"262,937,811.58",99,5.6,1707,1
1014,G.I. Joe: The Rise of Cobra,175000000,11.787058,2009,"360,565,630.06",118,5.6,1988,0
1015,Sausage Party,19000000,17.56963,2016,"149,909,795.15",83,5.6,2310,1
1016,Identity Thief,35000000,7.321172,2013,"190,913,532.43",111,5.6,1667,1
1017,Neighbors 2: Sorority Rising,35000000,9.914008,2016,"115,873,140.92",91,5.6,1490,1
1018,Beautiful Creatures,60000000,20.485203,2013,"65,902,711.10",124,5.6,1017,0
1019,Battle: Los Angeles,70000000,6.7537460000000005,2011,"230,194,528.72",116,5.5,1462,1
1020,The Smurfs,110000000,10.219758,2011,"640,954,654.92",103,5.5,1201,1
1021,Mirror Mirror,85000000,14.170182999999998,2012,"203,823,327.85",106,5.5,1148,1
1022,You Don't Mess with the Zohan,90000000,13.116461,2008,"239,424,876.71",113,5.5,1068,0
1023,Jack the Giant Slayer,195000000,11.606061,2013,"216,947,296.51",114,5.5,2634,1
1024,Wrath of the Titans,150000000,7.739903999999999,2012,"335,216,463.41",99,5.5,1459,1
1025,The Green Hornet,120000000,7.888013000000001,2011,"259,016,764.40",119,5.5,1274,1
1026,xXx: Return of Xander Cage,85000000,17.918269,2017,"361,117,732.15",107,5.5,1497,1
1027,Abraham Lincoln: Vampire Hunter,69000000,7.922636,2012,"125,026,986.25",94,5.5,1297,0
1028,Annabelle,6500000,23.242452,2014,"275,764,740.11",99,5.5,1588,0
1029,Fantastic Four,100000000,19.382082,2005,"432,817,379.15",106,5.5,3040,2
1030,Battleship,209000000,13.106966,2012,"337,472,197.36",131,5.5,2141,1
1031,Little Fockers,100000000,9.739410000000001,2010,"364,206,119.14",98,5.5,1092,1
1032,Unfriended,1000000,10.07817,2015,"67,843,672.63",82,5.5,1092,0
1033,Alvin and the Chipmunks,60000000,11.805233,2007,"445,737,810.22",92,5.5,1212,0
1034,Lara Croft Tomb Raider: The Cradle of Life,95000000,13.076349,2003,"217,491,454.95",117,5.5,1443,0
1035,Hitman: Agent 47,35000000,10.721799,2015,"88,434,923.90",96,5.5,1183,0
1036,Noah,125000000,14.924487,2014,"391,746,522.37",139,5.5,2408,1
1037,The Legend of Tarzan,180000000,45.38298,2016,"380,080,002.91",109,5.5,2488,1
1038,G.I. Joe: Retaliation,130000000,10.560608,2013,"408,106,284.48",110,5.4,3045,1
1039,The Mummy,125000000,33.704935,2017,"425,413,455.42",110,5.4,2122,3
1040,Assassin's Creed,125000000,27.54107,2016,"256,443,507.41",115,5.4,2776,1
1041,Superman Returns,270000000,13.284711999999999,2006,"496,029,071.40",154,5.4,1429,0
1042,The Circle,18000000,88.439243,2017,"21,384,327.67",110,5.4,1015,1
1043,Scary Movie 2,45000000,10.869056,2001,"203,896,823.06",83,5.4,1019,1
1044,Dumb and Dumber To,40000000,15.402597,2014,"183,469,892.09",110,5.4,1140,1
1045,Fantastic 4: Rise of the Silver Surfer,130000000,12.924254,2007,"356,534,071.39",92,5.4,2648,0
1046,R.I.P.D.,130000000,9.369679,2013,"67,654,598.50",96,5.4,1280,1
1047,Bad Teacher,20000000,7.3106860000000005,2011,"245,805,685.66",92,5.4,1634,1
1048,Mortdecai,60000000,10.241861,2015,"32,818,674.23",106,5.4,1078,1
1049,Cowboys & Aliens,163000000,10.958669,2011,"198,764,199.66",119,5.4,2054,1
1050,Jack Reacher: Never Go Back,60000000,15.605620000000002,2016,"172,753,131.81",118,5.3,1843,1
1051,Evan Almighty,175000000,9.156877,2007,"213,391,702.85",96,5.3,1194,1
1052,Ghostbusters,144000000,17.162744,2016,"244,137,575.21",116,5.3,2203,1
1053,Hulk,137000000,15.422638000000001,2003,"340,971,058.35",138,5.3,1571,1
1054,The Bling Ring,15000000,7.913028999999999,2013,"21,011,002.89",90,5.3,1205,1
1055,Mechanic: Resurrection,40000000,14.288576999999998,2016,"133,954,448.62",99,5.3,1236,1
1056,Godzilla,130000000,11.295121,1998,"594,564,140.96",139,5.3,1075,2
1057,Ghost Rider,110000000,11.902353999999999,2007,"282,143,787.22",114,5.2,1754,1
1058,The Mummy: Tomb of the Dragon Emperor,145000000,14.250226999999999,2008,"476,398,481.15",112,5.2,1418,1
1059,Sex Tape,40000000,27.470696000000004,2014,"136,189,156.96",97,5.2,1733,1
1060,A Good Day to Die Hard,92000000,12.471865,2013,"334,335,082.99",98,5.2,3519,0
1061,Jupiter Ascending,176000003,21.463465,2015,"198,504,897.77",124,5.2,2816,1
1062,Pompeii,130000000,12.204174,2014,"127,290,021.32",105,5.2,1294,1
1063,Gods of Egypt,140000000,13.337707,2016,"160,537,903.85",127,5.2,1303,0
1064,Fifty Shades of Grey,40000000,33.068431,2015,"616,060,198.02",125,5.2,3350,0
1065,The Day the Earth Stood Still,80000000,9.265322,2008,"276,832,790.28",104,5.2,1057,1
1066,Batman Forever,100000000,13.321354000000001,1995,"564,635,840.69",121,5.2,1529,1
1067,Underworld: Blood Wars,35000000,20.02976,2016,"86,398,167.23",91,5.2,1619,1
1068,Wild Wild West,170000000,9.887602000000001,1999,"340,889,357.33",106,5.1,1042,1
1069,Green Lantern,200000000,13.985631,2011,"249,959,736.24",114,5.1,2551,1
1070,Daredevil,78000000,11.415558,2003,"249,001,379.85",103,5.0,1551,1
1071,After Earth,130000000,10.747641999999999,2013,"267,599,517.48",100,5.0,2579,1
1072,Spring Breakers,5000000,14.830235,2013,"34,815,018.96",94,5.0,1580,1
1073,Ouija,5000000,13.288564000000001,2014,"111,905,501.88",89,4.9,1006,0
1074,Independence Day: Resurgence,165000000,16.993841,2016,"415,173,628.25",120,4.9,2550,1
1075,Rings,25000000,24.535733,2017,"86,673,943.59",102,4.8,1075,0
1076,The Last Airbender,150000000,9.544657,2010,"373,412,184.37",103,4.7,1180,0
1077,Ghost Rider: Spirit of Vengeance,57000000,9.421301,2011,"169,652,635.28",95,4.7,1163,1
1078,Fantastic Four,120000000,17.246484,2015,"181,231,524.46",100,4.4,2322,2
1079,Batman & Robin,125000000,17.038823999999998,1997,"379,498,823.02",125,4.2,1447,1
1080,The Boy Next Door,4000000,10.200398,2015,"56,562,409.80",91,4.1,1034,1
