Column1,title,rotten_tomatoes_link,star_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,revenue,top_critic_review_count,review_count
103,Bitch Slap,/m/10010153-bitch_slap,32,29,10342,4,5,12,199436,4,17
104,Fireproof,/m/10010214-fireproof,14,82,39733,8,8,12,33456317,8,20
105,Dostana,/m/10010229-dostana,9,68,4442,5,13,2,20000000,5,15
106,Splinter,/m/10010329-splinter,4,49,13198,18,26,9,124191,17,33
108,Leaves of Grass,/m/10010334-leaves_of_grass,29,49,15333,15,23,15,985117,14,35
109,The Proposal,/m/10010458-proposal,26,67,860222,44,83,104,317375031,43,179
110,Gigantic,/m/10010552-gigantic,9,34,97061,24,30,53,165888,22,74
111,Anna Karenina,/m/1001063-anna_karenina,21,70,3061,0,12,0,791830,0,11
120,Orphan,/m/10010658-orphan,17,63,872754,39,85,68,41596251,38,147
121,My Sister's Keeper,/m/10010662-my_sisters_keeper,1,72,365325,39,65,71,95714875,38,128
122,The Hangover,/m/10010667-hangover,37,84,942870,48,186,52,459270619,47,233
123,Season of the Witch,/m/10010694-season_of_the_witch,29,30,79825,30,13,108,88100000,30,119
124,The Messenger,/m/10011016-messenger,11,75,21578,39,142,17,1521261,39,153
126,The Apartment,/m/1001115-apartment,18,94,38071,16,61,4,25000000,16,57
127,Fame,/m/10011235-fame,37,36,194964,36,29,92,21202829,37,114
129,Ong Bak 2,/m/10011457-ong_bak_2_2009,25,53,21191,19,33,36,8936663,19,68
130,Broken Hill,/m/10011721-broken_hill,13,61,309,2,3,3,54058,2,6
131,Chloe,/m/10011774-chloe,27,39,30554,44,82,79,8459458,44,159
132,Armed and Dangerous,/m/1001180-armed_and_dangerous,54,39,9327,2,1,8,15945534,2,6
133,Around the World in 80 Days,/m/1001193-around_the_world_in_80_days,95,57,33419,8,27,11,72178895,8,33
137,Frozen,/m/10012051-frozen,9,46,20583,29,60,35,3065860,29,94
141,The Ghost Writer,/m/10012063-ghost_writer,50,70,60319,45,172,33,60222298,45,202
142,Repo Men,/m/10012068-repo_men,65,41,100453,33,33,118,18409891,33,148
143,Daddy Longlegs,/m/10012114-daddy_longlegs,13,51,534,17,24,6,20728,17,28
144,Winter's Bone,/m/10012136-winters_bone,12,76,51659,41,159,10,13831503,41,168
145,The Kids Are All Right,/m/10012141-kids_are_all_right,16,74,63538,46,206,16,34705850,45,218
146,Stolen,/m/10012207-stolen,19,39,2690,12,0,20,2106557,12,20
149,Predators,/m/10012256-predators,12,52,159760,31,129,69,126248813,30,193
150,Assault on Precinct 13,/m/1001280-assault_on_precinct_13,32,80,24609,5,41,1,35294470,5,30
152,Attack of the 50 Foot Woman,/m/1001323-attack_of_the_50_foot_woman,11,21,8576,0,9,3,480000,0,9
153,The Awakening,/m/1001428-awakening,17,21,420,0,0,5,209696,0,4
155,Bad Company,/m/1001553-bad_company,20,71,2293,4,10,1,65977295,4,9
158,The Bad News Bears,/m/1001567-bad_news_bears,27,80,40358,8,29,1,35323292,8,24
159,The Birds,/m/1002448-birds,22,83,176409,9,52,3,11403529,9,47
160,Black Christmas,/m/1002484-black_christmas,28,75,22965,4,22,9,21510851,4,26
162,The Black Hole,/m/1002497-black_hole,9,45,9766,4,12,18,35841901,4,21
163,Black Rain,/m/1002512-black_rain,31,55,27767,1,11,10,45892212,1,13
164,Black Widow,/m/1002531-black_widow,40,40,3798,2,10,11,25205460,2,11
